Explained Variance
0.404121748
0.144869832
0.1187709
0.073658492
0.036656505
0.02834927
0.024381073
0.018680353
0.018005619
0.014644714
0.013177993
0.011197354
0.008762654
0.008317094
0.007327991
0.006637512
0.006439264
0.005501183
0.004989065
0.004744725
0.004505175
0.003687507
0.003297741
0.003050518
0.002641136
0.002311494
0.002165115
0.002011936
0.001817245
0.001714412
0.001484037
0.001361214
0.001224888
0.001122469
0.000957545
0.000902109
0.000744151
0.000666673
0.000626649
0.000587039
0.000503087
0.000469374
0.0003994
0.00035425
0.000334072
0.00030599
0.000278227
0.000210302
0.000188633
0.000164388
0.000151635
0.000119165
0.000111415
0.00010645
9.22E-05
5.32E-05
4.58E-05
2.50E-33
