PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,facility_total,County_Name,County_Code
-1.432719927,-5.989644142,-5.128588413,-1.330054945,-3.903734114,0.681777495,-1.015771723,-0.44491206,1.073122005,-0.99163592,-0.783054271,0.773389676,8,Placer,6061
-7.983500656,-5.287885543,1.263519898,-2.179677339,0.344014173,-0.582885691,-1.904514545,0.397097513,0.416293405,-1.480913379,1.001894014,2.309728273,5,Plumas,6063
12.09712159,1.055216084,0.951306449,-1.292387299,-3.155033037,5.740277011,2.81300698,1.048189837,-0.169009562,3.113397732,-1.319165532,0.14691728,77,Riverside,6065
8.581757671,-0.243136253,-1.776844615,0.363451961,1.070799413,3.235929555,-1.707903286,4.097502425,-0.909402958,-0.058173741,0.515804769,-0.551420736,48,Sacramento,6067
-2.691405386,1.49609672,-1.866184346,3.64159405,-4.587653001,-1.954288261,0.246851233,1.320288379,-1.138227472,-2.055287315,-0.227962359,-0.661096973,6,San Benito,6069
11.14064387,3.40390427,1.309287117,-0.375677357,-1.771361184,3.61909341,1.303516282,1.444214637,0.369667027,1.883390086,-0.768155699,-0.549738069,64,San Bernardino,6071
14.97625901,-3.164658992,1.806654113,-1.037759991,-0.077243466,2.631664387,0.631587014,-0.128092655,0.067008536,2.120825244,0.787738869,-0.608441659,190,San Diego,6073
6.764989404,-5.51175986,-5.462210264,4.063236427,8.262547438,-4.900508692,-3.078609224,-1.787503045,-2.03736336,3.245335618,-5.211819516,-0.242564986,86,San Francisco,6075
3.993090452,4.184505093,-1.404062502,1.140675817,0.302222575,0.589379893,-1.372734094,1.928957246,-0.116051333,-0.832572047,0.077431708,-1.104837965,38,San Joaquin,6077
-1.288044417,-3.661584394,-3.662574103,-2.370983188,-1.200112422,1.294145088,2.208831804,-2.206565961,1.428529335,1.109804293,-0.62021084,0.118348431,47,San Luis Obispo,6079
4.586957121,-5.366075727,-6.707988599,4.236710857,0.530928732,-1.24795792,-1.126708427,1.67977461,-0.595850401,-0.42352923,1.339731596,1.397827058,34,San Mateo,6081
2.337125711,2.120291041,-2.291566213,1.858689744,0.679843485,-0.986605669,1.425554932,-2.403429221,-0.373242564,1.696093951,1.322155413,-1.711756623,46,Santa Barbara,6083
8.995209049,-5.019298176,-4.286096747,3.567092957,0.284144111,-0.676143643,-0.40298228,0.163279008,-0.134261633,-0.08611139,0.962449949,1.741624214,84,Santa Clara,6085
-0.365326131,-1.244278829,-3.81235711,0.353321995,0.805330817,-0.923607201,1.210467421,-2.027410055,0.525268495,0.269498715,0.401106009,-0.30122244,17,Santa Cruz,6087
-3.166247936,-0.612902848,-0.895819209,-4.914917004,0.124724308,2.222613198,-0.72234639,-1.317486734,-0.132851874,-0.437028107,-0.87872494,-0.795173544,24,Shasta,6089
-12.56497995,-6.180870535,9.290362904,0.574620079,-3.952833979,-3.446172212,-3.999957251,3.697385435,0.423642948,4.290397449,-1.164086371,-3.496612555,4,Sierra,6091
-5.291834655,-0.654617018,-0.080681458,-4.03404679,0.416749646,1.658330099,-0.814715943,-0.904506551,-1.397237166,-1.404056492,-1.580566393,-0.254584912,10,Siskiyou,6093
2.665100473,-0.815803393,-4.532960148,1.703838274,0.527644991,2.313222345,0.011304665,3.863809146,-0.27733866,-1.15255504,0.519120328,0.510218339,17,Solano,6095
1.082545411,-2.670892814,-3.834674424,-0.358918585,-0.943100934,0.16506335,0.090658869,-1.102164623,-0.368080235,-0.089609432,0.867201414,0.096207466,52,Sonoma,6097
2.305485409,4.984948859,-1.236996588,0.675949225,-1.211894874,0.695046928,-2.374658024,0.913849555,-0.097065905,-0.793881799,-0.244104928,-0.41217451,32,Stanislaus,6099
-1.97497648,3.466188511,-1.32499662,0.946816212,-0.305137224,-0.381383921,-0.326250873,0.432290469,-2.093911589,-1.863407762,-0.254888862,-1.503179503,17,Sutter,6101
-5.209055475,3.350126448,1.812113801,-4.043883025,0.876443237,0.992922862,-1.26210678,-1.136122263,-1.710917891,-1.758893861,-1.300360842,-0.117278845,5,Tehama,6103
-9.050483107,1.138230425,6.939177434,-3.224988276,2.98534176,-0.807287682,-1.97263887,0.879960489,-3.396933136,2.307331399,5.327698165,0.939678259,2,Trinity,6105
2.135644444,9.859376109,1.046721766,1.662652597,-2.062879383,-1.085650439,-2.651981889,-1.457877193,1.901899279,0.823416853,0.817017153,2.429234353,41,Tulare,6107
-6.005030836,-2.652717581,0.323515044,-4.603254959,0.49070187,-0.213092642,-1.0933879,-0.501139817,1.705014005,1.109583642,-0.098175345,0.212863095,13,Tuolumne,6109
3.300248003,-0.994207755,-3.638848477,0.959858018,-2.476235755,0.590529296,1.836790348,-1.511092359,-0.702078115,0.276912919,0.051611627,-0.262209427,41,Ventura,6111
0.602158997,0.000707537,-4.034295638,1.249528047,2.818905352,0.832018957,1.45910555,-0.619373292,-0.466788813,0.470955201,-0.364244781,-1.477709563,12,Yolo,6113
-2.906116749,4.106079251,-0.113401711,-0.084758259,1.349268435,0.335847107,-0.044603153,0.699097646,-1.516259103,-1.997937176,-0.30767752,-2.187186527,10,Yuba,6115
