PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,facility_total,County_Name,County_Code
8.726535850766352,-3.8161051901954126,-3.4377410868143436,2.687979535440633,3.059413717699234,-1.014700788511523,-1.7416236679304447,2.202714611261767,-0.5155590063063764,-0.7078074944855124,114,Alameda,6001
-12.734763989552839,-8.899166864042213,13.789176146051878,16.04075374552688,1.2286973694387135,6.204671935875699,-1.7294208956392816,-2.7575162769453674,2.18631645823704,-1.7590951395141459,0,Alpine,6003
-6.213336674652168,-3.7740150938289254,-0.03041188843421603,-2.9151842657448483,3.106171828585455,-0.5734066327015115,1.2071153085225559,0.25716748448907045,3.033642250547133,0.5530157211630565,2,Amador,6005
-2.0242309332800064,0.2982560058674142,-0.9503681478092199,-3.903374287570088,1.7814535530667106,2.3877789598275343,-0.2796695441925613,-1.713920065133078,-0.3816764558849087,-0.4451732498696478,26,Butte,6007
-6.968520706570267,-4.024476532168536,-0.049810505630544885,-4.486980441394397,-4.375617680944102,-0.3816189522467976,-1.0138622473147585,0.344077341672686,1.8924579281801874,0.26814876430287954,5,Calaveras,6009
-3.974327848269042,5.258144504003359,0.40572882360510054,2.9411945656426863,-3.3597265829077685,-3.8160714387557655,0.2360145168794986,1.3999776861806135,-1.7457641570348559,-1.6452330740711882,4,Colusa,6011
5.922613530158572,-3.1622180722860755,-4.015304944083241,2.2823629621902763,-0.5852390569707399,0.9414356019165514,-1.796974174308354,2.5719731900733724,-0.850771967775732,-0.8407727667318737,40,Contra Costa,6013
-6.063964453889413,1.114839309366565,2.5462851836821425,-2.012376751739588,5.497567667020445,1.2309844236448146,4.269788120123889,1.8496603997922632,0.5014610160187938,-1.2964851517597114,6,Del Norte,6015
-3.20284937979432,-5.555380842446162,-3.9947021989773996,-2.4035696148966754,-3.130703084853565,0.09425135470130798,-1.1727824512707008,-1.1423534664583113,1.007461392273046,-1.0544458893804516,9,El Dorado,6017
5.375866082815451,7.265415320155673,0.9653376458092613,0.5211982683132291,-0.03617694470743347,0.8103102401019441,-1.6217583615860873,-0.5377512158748103,-0.04313425512910617,0.4678198828001032,73,Fresno,6019
-5.2890039734562135,4.527032394047205,2.2286432832077154,1.3116662594854291,-2.4881554649363475,-2.4836097549677074,1.7478277858793958,-0.05526296172461244,-2.7329905357155755,-2.098879347668489,5,Glenn,6021
-3.000838797950466,1.1190747998655397,0.6129083473718253,-4.096667925249929,2.55757663199515,2.045395878665328,-1.5263957561960408,-1.4470959513606552,-0.5387815595275719,-0.032403838986321265,32,Humboldt,6023
-0.4383172516490191,11.615342775454236,1.7321182713491252,2.234398720344419,0.9425852645406062,-2.273292510249244,-1.7589648514462561,-2.1758237387199837,3.1711177751459263,0.6445389340565503,14,Imperial,6025
-6.635356332772221,-3.5830844605592422,0.020125470726114453,-1.5907617101418967,0.6105399073448,-0.21238612874609605,2.2187612359387887,-0.47561379742117216,-0.567877321477542,-2.4022966047935355,4,Inyo,6027
5.360066357496994,7.43044278419288,0.8231047855459714,0.12320081233030644,0.03228591394555775,1.7648575003320344,0.010236891751697855,-0.39576770182104504,0.42551547199547657,1.404068721422399,71,Kern,6029
-0.6455946683504458,8.146464045192651,0.3292511731162385,2.8031996542773228,1.5189928942002593,-1.6629290877014808,0.7099278396433598,1.289018139631521,3.3606181342057315,0.016961987615797994,14,Kings,6031
-5.643301647902883,2.5483566334445533,2.609657140088631,-4.195609333817039,0.5436684810471061,0.9048107342161881,-1.3236349287807878,-1.776151385949875,-1.3606914010431768,-1.3641479893975743,7,Lake,6033
-5.958930072885477,-1.5448698691438763,-0.018133908064336294,-1.6912741434540042,3.5636428275304,-2.2806367456084553,4.332898740307146,4.128920741326601,5.846820600530588,-1.2220486149282486,11,Lassen,6035
36.80029287817496,-6.157067177058602,17.31224918817118,-4.9552811130457295,0.022982511418170544,-4.390913290843555,0.6569444091308348,-1.3409773129747296,0.5983572843995727,-3.10139267269322,622,Los Angeles,6037
-0.9862540529480162,7.6109539746407675,0.3587147299312027,1.7018737014766814,-0.7834168205828363,-0.6784852027692517,0.4827622493131683,-0.5399876992179587,0.6507962645930088,-0.0584300587970739,11,Madera,6039
-0.47756864153673867,-6.059600516140471,-5.872275016441173,1.121290019646616,0.18645026698755554,-0.26826210936544936,0.2559457279798941,-1.2039416845226945,0.014263995080255188,0.09200658959455073,26,Marin,6041
-8.43997718178379,-0.14965769587167677,4.8356115518925025,-3.865742687891921,1.9123024563685942,0.21714950920907103,-0.027163406284757045,2.067291756297368,-0.3692929860998388,1.8829072497487278,4,Mariposa,6043
-3.344696978574793,3.5873239178726934,1.1566848341683678,-2.2491939904363942,1.9918891925634623,1.022707421119917,-0.6272471893937626,-1.266371599723384,-1.9391833846468094,0.05391937578044346,22,Mendocino,6045
0.6382313275376679,9.197695243077739,-0.007147199271536344,1.6636063745190068,-0.1760579742257643,-0.6826035501471543,-0.623448262957127,-0.05877147860709476,1.8747296181579454,0.09479610875379088,26,Merced,6047
-9.604183299089598,-1.4226309917462696,6.9784670643164075,1.6931512258770207,-1.0406970346155957,-0.443387967118771,4.637007307523004,1.8290118786857807,-3.909485008946798,1.684416136836199,3,Modoc,6049
-6.230693538043615,-4.192936427380991,1.0969336117326212,3.1316501589003245,-2.0707129932709476,-3.253392738952711,5.568228684045845,-2.2427998022564855,-1.6019175368956702,1.8316046799179937,1,Mono,6051
